Event,MoveScores
1,82 -5 54 9 45 -1 66 -12 68 -1 50 -21 76 -33 66 -25 69 -12 62 0 87 -11 70 -16 49 -14 57 6 45 -9 45 0 58 19 -9 43 -9 45 -9 43 50 -11 34 9 -5 78 -12 52 -9 9 -9 9 -13 32 -9 75 -63 76 -39 54 -40 47 -44 42 -38 94 -79 90 -25 84 -66 71 -48 89 -88 86 -86 126 -125 125 -125 125 -111 125 -80 89 -66 66 -37 56 -50 42 -41 78 -40 40 -43
2,62 -25 71 -14 55 0 75 -9 93 -43 79 -37 83 -25 69 -10 66 6 54 0 98 -27 60 -29 54 -2 93 -54 92 -30 79 -18 60 -13 62 -18 43 0 18 0 32 0 15 40 -9 32 0 39 0 18 0 13 0 45 -34 53 -16 65 -30 46 -41 55 -41 59 -33 66 -44 62 -37 35 -33 72 -62 80 0 27 0 35 -9 9 -9 9 -9 9 -9 9 -9 9 -9 9 -9 9 -9 9 -9 9 -9
