Event,MoveScores
1,82 -25 75 -30 80 -12 73 -30 101 -68 103 -52 102 -25 80 -38 61 -28 64 -22 41 11 48 10 30 56 48 19 7 24 0 75 -54 120 -65 146 -120 137 -108 192 -154 145 -83 140 -39 139 -1 49 35 0 13 64 0 110 -82 101 -83 100 -107 98 -84 103 -88 119 -94 224 -203 380 -193 282 -210 275 -52 269 -256 344 -167 215 -115 250 -71 95 -24 108 -51 88 -47 58 -53 66 -52 68 -45 71 -33 87 -70 81 -61 56 -50 46 -42 61 -56 71 -71 71 -80 80 -80 80 -80 80 -80 80 -80 80 -80 80 -80 80 -80 80 -80 80 -80 80 -80 80 -80 80 -80 80 -80 80 -80 80 -80 80 -80 80 -80 80 -80 80 -80 80 -80 80 -80 64 -63 51 -39 39 -29 29 -26 80 -80 80 -80 80 -80 80 -80 80 -80 80 -80 80 -9 9 -9 9 -9 9 -9 9 -9 80 -80 80 -80 80 -80 80 -80 80 -80 80 -80 80 -80 80 -80 80 -80 80 -80 80 -23 23 -23 23 -23 23 -23 23 -23 23 -23 23 -22 22 -5 0 0 0 0 0 0 0 0 0 0 0 0
2,82 12 60 1 45 35 8 68 -5 47 56 -20 85 -46 90 -17 99 -28 99 -61 109 -61 89 -30 34 -37 61 -15 50 -2 70 0 28 -17 76 -25 72 -35 136 -140 159 -136 168 -137 145 -75 135 -116 137 -110 140 -103 115 -106 103 -87 155 -133 137 -102 116 -80 84 -19 9 -9 42 -48 45 -45 45 -45 45 -45 159 -182 200 -215 261 -256 248 -261 341 -308 330 -174 223 -249 356 -344 356 -366 376 -386 415 -357 621 -481 481 -481 636 -742 827 -1062 1175 -1243 1338 -1360 1389
